"Block","Order","Block.1","Position","ML","Leaf.Number","Comment","Trt","Comp","Combos","Population","Species"
"1",1,1,"1","PA4.19Ip",7,"","Inter","PA 4.7 Ihed","PA 4.19 Ip-PA 4.7 Ihed","PA4","Ip"
"1",1,1,"1","PA4.7Ihed",20,"","Inter","PA 4.19 Ip","PA 4.19 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",5,1,"5A","PA4.11Ip",9,"","Inter","PA 4.15 Ihed","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ip"
"1",5,1,"5A","PA4.15Ihed",16,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",8,1,"8","PA4.17Ip",20,"","Inter","PA 4.3 Ihed","PA 4.17 Ip-PA 4.3 Ihed","PA4","Ip"
"1",8,1,"8","PA4.3Ihed",18,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",9,1,"9A","PA4.14Ip",9,"","Inter","PA 4.2 Ihed","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ip"
"1",9,1,"9A","PA4.2Ihed",23,"","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",11,1,"11","PA4.18Ip",8,"","Alone","NA","NA","PA4","Ip"
"1",11,1,"11A","PA4.19Ip",16,"","Inter","PA 4.2 Ihed","PA 4.19 Ip-PA 4.2 Ihed","PA4","Ip"
"1",11,1,"11A","PA4.2Ihed",11,"","Inter","PA 4.19 Ip","PA 4.19 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",13,1,"13A","PA4.2Ip",16,"","Inter","PA 4.2 Ihed","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ip"
"1",13,1,"13A","PA4.2Ihed",21,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",14,1,"14","PA4.11Ip",26,"","Inter","PA 4.9 Ihed","PA 4.11 Ip-PA 4.9 Ihed","PA4","Ip"
"1",14,1,"14","PA4.9Ihed",27,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.9 Ihed","PA4","Ihed"
