"Position","Species","IMAGE_ID","EXP_CODE","CIR_RATIO","X_PIXEL","Y_PIXEL","X_SCALE","Y_SCALE","COMP_TIME","SKL_NODES","DIA_STM","DIA_STM_SIMPLE","AREA","AVG_DENSITY","TD_AVG","WIDTH_MAX","D10","D20","D30","D40","D50","D60","D70","D80","D90","RDISTR_X","RDISTR_Y","SKL_DEPTH","SKL_WIDTH","RTP_COUNT","STA_RANGE","STA_MAX","RTA_RANGE","RTA_MAX","ADVT_COUNT","BASAL_COUNT","ADVT_ANG","BASAL_ANG","HYP_DIA","TAP_DIA","MAX_DIA_90","DROP_50","Image_Name","Full.Path","Name","Type","Date","URL","Last.Updated","Folder_Name","UniqId.x","File_copy","Comment","Block","Order","ML","UniqId.y","GerminationDate","Comment1","Dead_plant","DeathCause","RootsHarvested","SeedsCounted","Trt","Comp","Combos","Population"
"1","Ihed","img_6935.jpg","No label found",1,217,15,0.117050691,1.693333333,933,18908,10.8714,165.1,33440.9,0.74605,2.36525,187.281,0.236693,0.344847,0.402605,0.441676,0.477916,0.528879,0.593431,0.655719,0.710645,21.0331,-2496.71,2981.96,212.681,152,86.4863,86.593,88.2347,89.1401,5,38,79.2926,74.0708,8.89794,5.71857,4.81408,2987.04,"img_6935.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6935.JPG","IMG_6935.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1Dt22GDnCjjRFCu1x9Ef4a8KZvCQK0936/view?usp=drivesdk","7/16/18","Root_Images_7162018","1H",NA,"",1,1,"PA4.7Ihed","1Ihed","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.19 Ip","PA 4.19 Ip-PA 4.7 Ihed","PA4"
"1","Ip","img_6899.jpg","No label found",1,217,15,0.117050691,1.693333333,541,14000,12.0116,110.913,17011.4,1.65851,2.08387,68.3576,0.212955,0.391304,0.519965,0.584738,0.63709,0.695652,0.747116,0.799468,0.852706,-1.47417,-2097.5,1899.92,85.7982,118,88.3242,88.4647,80.2657,88.6432,14,7,62.7256,84.2794,7.18872,4.43377,4.30584,1905,"img_6899.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6899.JPG","IMG_6899.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1t0bLwcUxfbYtV2H5_U6WO2fxftvOn_Js/view?usp=drivesdk","7/16/18","Root_Images_7162018","1P",NA,"",1,1,"PA4.19Ip","1Ip","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.7 Ihed","PA 4.19 Ip-PA 4.7 Ihed","PA4"
"10","Ip","img_6936.jpg","No label found",1,217,15,0.117050691,1.693333333,814,23227,10.6664,132.927,40008.6,1.35768,2.4118,126.239,0.226156,0.309249,0.367775,0.424133,0.476156,0.528902,0.581647,0.635838,0.689306,26.6847,-1993.1,2336.8,138.237,189,88.7273,88.8979,86.4327,89.6377,9,41,56.0297,84.1054,8.73885,5.71777,4.58107,2340.19,"img_6936.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6936.JPG","IMG_6936.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1F5l4WeVuI0tTO48Vibotb54lAIXEHaq-/view?usp=drivesdk","7/16/18","Root_Images_7162018","10P",NA,"",1,10,"PA4.1Ip","10Ip","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.9 Ihed","PA 4.1 Ip-PA 4.9 Ihed","PA4"
"100","Ihed","img_6856.jpg","No label found",1,217,15,0.117050691,1.693333333,623,16544,10.0358,120.227,19386.7,0.88897,2.1003,90.9484,0.37561,0.460976,0.526016,0.584553,0.634959,0.678862,0.722764,0.778049,0.85122,-5.75341,-2146.15,2074.33,105.346,142,85.8072,85.8584,80.0179,89.5874,18,19,77.7436,66.9738,6.89998,4.4913,4.30584,2077.72,"img_6856.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6856.JPG","IMG_6856.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1Etx4RbdrBrkEknSW-u8HBz3EMN-OnBqy/view?usp=drivesdk","7/16/18","Root_Images_7162018","100H",NA,"",1,100,"PA4.7Ihed","100Ihed","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.7 Ihed","PA4"
"100","Ip","img_6858.jpg","No label found",1,217,15,0.117050691,1.693333333,571,16490,9.18586,129.54,18046.8,1.15791,2.06384,70.2304,0.370067,0.472077,0.530901,0.584512,0.63589,0.688012,0.744602,0.80417,0.866716,12.2824,-2390.11,2267.37,86.1493,127,87.9882,88.0381,66.9458,89.5535,19,15,73.7484,82.1293,6.54323,4.16302,3.72897,2270.76,"img_6858.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6858.JPG","IMG_6858.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1rAM93o_7gUeJfmUNAeyd4DYs3w-1vvb3/view?usp=drivesdk","7/16/18","Root_Images_7162018","100P",NA,"",1,100,"PA4.1Ip","100Ip","43258.0",NA,"Y",NA,"N","N","Inter","PA 4.7 Ihed","PA 4.1 Ip-PA 4.7 Ihed","PA4"
"1000","Ihed","img_7578.jpg","No label found",1,212,15,0.119811321,1.693333333,164,5534,8.12217,86.36,11059.8,2.65751,2.68392,22.5245,0.229391,0.378734,0.476703,0.545998,0.603345,0.654719,0.706093,0.76583,0.835125,-5.23442,-1508.13,1408.85,32.7085,33,24.5756,27.7249,23.708,88.768,11,9,76.8284,85.0418,7.12337,7.29868,4.31241,1413.93,"img_7578.jpg","Field_Root_Photos/Root_Images_7192018/IMG_7578.JPG","IMG_7578.JPG","JPG","7/19/18","https://drive.google.com/a/umich.edu/file/d/1msTh95HnFuLd1z-0h_WeaMuGlzSaakz7/view?usp=drivesdk","7/19/18","Root_Images_7192018","1000H",NA,"",4,1000,"PA4.7Ihed","1000Ihed","43259.0",NA,NA,NA,"Y","N","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.7 Ihed","PA4"
"1000","Ip","img_7572.jpg","No label found",1,7,33,3.628571429,0.76969697,194,8948,8,51.1848,179047,1.87592,5.32295,849.086,0.206474,0.28084,0.365704,0.453193,0.517935,0.570429,0.635171,0.708661,0.783902,106.315,-777.977,875.915,1320.8,55,64.5777,64.7643,58.5235,58.7101,7,15,13.2938,12.3813,15.0797,12.0424,8.35156,878.224,"img_7572.jpg","Field_Root_Photos/Root_Images_7192018/IMG_7572.JPG","IMG_7572.JPG","JPG","7/19/18","https://drive.google.com/a/umich.edu/file/d/1tWDfV-zagbZ3-ymRK916phRYsZBfzyAW/view?usp=drivesdk","7/19/18","Root_Images_7192018","1000P",NA,"",4,1000,"PA4.13Ip","1000Ip","43259.0",NA,NA,NA,"Y","N","Inter","PA 4.7 Ihed","PA 4.13 Ip-PA 4.7 Ihed","PA4"
"103","Ihed","img_6847.jpg","No label found",1,34,22,0.747058824,1.154545455,354,8937,16.4468,103.332,97146.6,1.42219,2.77795,348.129,0.0673737,0.28821,0.357455,0.404866,0.445415,0.489083,0.53088,0.568933,0.62383,34.7112,-1699.26,1846.12,401.171,61,87.1012,89.4483,84.8714,85.3758,9,11,42.6127,63.3542,8.91336,4.67347,5.77397,1848.43,"img_6847.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6847.JPG","IMG_6847.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/15ZJM4DT5hRQeZo8RLAnRTaYXn_iAaiul/view?usp=drivesdk","7/16/18","Root_Images_7162018","103H",NA,"",1,103,"PA4.12Ihed","103Ihed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.12 Ihed","PA4"
"103","Ip","img_6842.jpg","No label found",1,34,22,0.747058824,1.154545455,538,15021,14.4871,85.4364,134550,2.9568,2.54276,1016.75,0.200154,0.386451,0.545035,0.598922,0.636644,0.670516,0.701309,0.729792,0.755966,-105.431,-1531.94,1495.14,1054.1,119,88.6828,89.7011,82.9288,83.4358,21,16,19.9834,54.0936,9.3343,4.86986,4.81189,1497.45,"img_6842.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6842.JPG","IMG_6842.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1xYysOBVf9MSMsCd8vetcqIst0LvmEMG3/view?usp=drivesdk","7/16/18","Root_Images_7162018","103P",NA,"",1,103,"PA4.18Ip","103Ip","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4"
"103A","Ihed","img_6854.jpg","No label found",1,217,15,0.117050691,1.693333333,1134,33449,9.45742,127,34652.3,0.782432,2.09405,111.725,0.363014,0.46347,0.549467,0.620244,0.678843,0.736682,0.794521,0.852359,0.906393,-10.4496,-2297.08,2218.27,132.501,239,88.5033,88.7099,81.1794,89.6373,5,25,84.4642,79.1948,7.37115,4.95324,3.72897,2221.65,"img_6854.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6854.JPG","IMG_6854.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1kTMJ8G8Q1uegQkvVB9iSMCmcXHhYRRT2/view?usp=drivesdk","7/16/18","Root_Images_7162018","103AH",NA,"",1,103,"PA4.2Ihed","103AIhed","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.2 Ihed","PA4"
